Feature,Importance
current_week_spending,0.7724398556288682
previous_2_week_avg,0.06973257556036933
week_cos,0.030023355906625762
previous_avg_transaction_amount,0.02205558552669498
spending_2_weeks_ago,0.017950576098419786
current_avg_transaction_amount,0.017116063267781007
spending_change,0.016791719941941226
spending_change_percentage,0.011165003599006471
spending_3_weeks_ago,0.010254487261424205
previous_4_week_avg,0.009077169905907154
week_sin,0.008862430947766418
previous_8_week_avg,0.004602701904659911
spending_1_week_ago,0.003896148523868407
current_transaction_count,0.002911042636757263
spending_4_weeks_ago,0.0020148842775747277
previous_transaction_count,0.0011063990123351536
current_fraud_count,0.0
