transaction_id,amount,category,merchant,payment_method,location,is_fraud,year,month,day,is_weekend,category_avg_amount,merchant_frequency,payment_impact
1,18434,4,6,2,2,0,2026,5,22,0,32658.61914460285,120,1.5
2,16484,1,12,0,1,0,2026,2,6,1,10122.828092243186,155,1.0
3,15511,0,9,2,0,0,2026,1,2,0,13011.339658444023,183,1.5
4,19729,0,5,2,4,1,2026,5,28,0,13011.339658444023,171,1.5
5,33675,4,0,1,2,0,2026,4,15,0,32658.61914460285,115,1.2
6,6942,3,13,1,2,0,2026,5,14,0,22062.8625,172,1.2
7,39604,4,17,2,3,0,2026,3,8,0,32658.61914460285,128,1.5
8,20342,3,13,1,2,0,2026,5,21,0,22062.8625,172,1.2
9,2575,0,20,2,2,0,2026,1,14,0,13011.339658444023,173,1.5
10,57430,4,17,2,3,1,2026,5,25,0,32658.61914460285,128,1.5
11,6992,2,2,2,3,0,2026,6,29,0,4294.937037037037,125,1.5
12,7772,2,2,0,3,0,2026,4,1,0,4294.937037037037,125,1.0
13,16733,3,13,1,3,0,2026,2,7,0,22062.8625,172,1.2
14,36715,4,0,0,4,0,2026,1,16,0,32658.61914460285,115,1.0
15,7127,3,8,1,2,0,2026,5,19,0,22062.8625,142,1.2
16,13402,1,12,2,3,0,2026,6,11,0,10122.828092243186,155,1.5
17,12805,1,3,1,4,0,2026,6,10,0,10122.828092243186,182,1.2
18,25247,3,8,2,0,0,2026,1,17,0,22062.8625,142,1.5
19,47523,4,17,1,0,0,2026,4,29,0,32658.61914460285,128,1.2
20,14040,1,12,2,2,0,2026,1,23,0,10122.828092243186,155,1.5
21,22744,0,9,0,0,0,2026,3,7,0,13011.339658444023,183,1.0
22,14580,1,7,0,4,0,2026,6,26,0,10122.828092243186,140,1.0
23,16953,4,6,2,3,0,2026,4,28,0,32658.61914460285,120,1.5
24,8217,4,6,1,1,0,2026,2,19,0,32658.61914460285,120,1.2
25,7293,0,9,2,2,0,2026,2,22,0,13011.339658444023,183,1.5
26,11583,3,13,2,0,0,2026,1,5,1,22062.8625,172,1.5
27,20412,3,8,2,4,0,2026,6,26,0,22062.8625,142,1.5
28,7720,5,19,2,2,0,2026,4,26,0,4090.480412371134,120,1.5
29,12055,0,5,2,2,0,2026,3,20,0,13011.339658444023,171,1.5
30,12340,0,9,0,2,0,2026,4,3,0,13011.339658444023,183,1.0
31,36324,3,13,2,0,0,2026,4,29,0,22062.8625,172,1.5
32,1427,2,16,2,0,0,2026,6,12,0,4294.937037037037,140,1.5
33,8913,3,11,0,3,0,2026,2,22,0,22062.8625,166,1.0
34,34621,4,6,2,4,1,2026,2,1,0,32658.61914460285,120,1.5
35,3937,1,3,0,2,0,2026,6,6,1,10122.828092243186,182,1.0
36,36431,3,13,2,1,0,2026,2,28,0,22062.8625,172,1.5
37,4688,5,18,1,4,0,2026,6,27,0,4090.480412371134,122,1.2
38,10689,3,8,0,4,0,2026,3,18,0,22062.8625,142,1.0
39,21593,3,11,1,4,0,2026,6,27,0,22062.8625,166,1.2
40,19405,0,9,0,1,0,2026,1,7,0,13011.339658444023,183,1.0
41,14156,3,11,1,3,0,2026,5,22,0,22062.8625,166,1.2
42,6333,2,10,1,1,0,2026,3,14,0,4294.937037037037,116,1.2
43,5860,0,20,2,0,0,2026,6,27,0,13011.339658444023,173,1.5
44,10741,0,5,2,2,0,2026,3,7,0,13011.339658444023,171,1.5
45,17852,1,3,2,4,0,2026,3,25,0,10122.828092243186,182,1.5
46,5269,5,19,2,1,0,2026,2,7,0,4090.480412371134,120,1.5
47,1762,2,16,1,2,0,2026,2,15,0,4294.937037037037,140,1.2
48,1360,1,12,2,0,0,2026,5,11,0,10122.828092243186,155,1.5
49,4335,0,9,0,2,0,2026,5,15,0,13011.339658444023,183,1.0
50,30786,3,13,0,0,0,2026,3,15,0,22062.8625,172,1.0
51,6335,5,14,2,4,0,2026,2,12,0,4090.480412371134,121,1.5
52,6982,2,2,2,4,0,2026,1,2,0,4294.937037037037,125,1.5
53,6936,5,18,2,4,0,2026,2,22,0,4090.480412371134,122,1.5
54,3480,2,2,2,2,0,2026,1,23,0,4294.937037037037,125,1.5
55,29508,3,8,1,0,0,2026,4,29,0,22062.8625,142,1.2
56,32870,4,4,0,0,0,2026,4,24,0,32658.61914460285,128,1.0
57,543,2,16,1,3,1,2026,4,6,1,4294.937037037037,140,1.2
58,20728,4,4,0,1,0,2026,3,28,0,32658.61914460285,128,1.0
59,16937,0,20,0,3,0,2026,6,25,0,13011.339658444023,173,1.0
60,42813,4,4,1,2,0,2026,2,25,0,32658.61914460285,128,1.2
61,34205,3,13,0,4,0,2026,4,16,0,22062.8625,172,1.0
62,6796,5,1,0,3,0,2026,1,5,1,4090.480412371134,122,1.0
63,9309,1,12,2,0,0,2026,6,27,0,10122.828092243186,155,1.5
64,12941,0,9,2,0,0,2026,5,31,0,13011.339658444023,183,1.5
65,36473,3,11,1,4,0,2026,2,2,0,22062.8625,166,1.2
66,32315,3,8,1,2,0,2026,6,27,0,22062.8625,142,1.2
67,1901,1,7,1,4,0,2026,4,4,0,10122.828092243186,140,1.2
68,8250,1,12,1,0,0,2026,5,9,0,10122.828092243186,155,1.2
69,24990,3,13,0,4,0,2026,2,15,0,22062.8625,172,1.0
70,6543,5,19,2,1,0,2026,5,15,0,4090.480412371134,120,1.5
71,4196,2,2,0,4,0,2026,5,2,0,4294.937037037037,125,1.0
72,9566,3,8,0,0,0,2026,1,29,0,22062.8625,142,1.0
73,2753,1,3,2,1,0,2026,4,1,0,10122.828092243186,182,1.5
74,5286,0,20,0,0,0,2026,5,14,0,13011.339658444023,173,1.0
75,7726,5,19,2,1,1,2026,2,23,0,4090.480412371134,120,1.5
76,10846,4,17,1,0,0,2026,4,14,0,32658.61914460285,128,1.2
