Feature Set,Model,Feature Count,CV R2 Mean,CV R2 Std,Test R2,MAE,RMSE
Full Engineered,Linear Regression,47,-3.6727556891143287,7.6154935204975205,0.638647919299409,4169.060845706397,5169.928725603931
Full Engineered,Ridge Regression,47,0.1685407339230081,0.2602636789340251,0.615400148317466,4221.859642772551,5333.641633117238
Current Features,Gradient Boosting Current,17,-0.10047453720200397,0.5709805075107711,0.5997018126331979,4595.442165389876,5441.4054553045635
Current Features,Ridge Regression,17,0.24362683041102726,0.26823358007509074,0.5994976177275736,4428.198007235308,5442.7931278555525
Current Features,Linear Regression,17,-0.19996139619229622,0.9143261923005612,0.5884781138972293,4544.834584476017,5517.1621055906735
Compact Engineered,Ridge Regression,26,0.1912454731054326,0.24144560965651216,0.5587564337955062,4399.532934725395,5712.924293322402
Compact Engineered,Linear Regression,26,-1.4672288281539818,3.2448971604294905,0.5570347264687444,4462.007812474106,5724.059194969853
Current Features,Gradient Boosting Medium,17,-0.021905997692467816,0.45680376089173863,0.5409331225955125,4763.621321696777,5827.164190387086
Compact Engineered,Gradient Boosting Medium,26,-0.04505252588444815,0.47695156063971633,0.52188165416824,4842.131591494034,5946.8499428108025
Compact Engineered,Extra Trees,26,0.06560143369941358,0.33393509911962976,0.5214635394351463,4872.476151045045,5949.4496362046775
Current Features,Extra Trees,17,0.1361033534032885,0.2854262992331937,0.5198995107764564,4982.367530584346,5959.164171868919
Current Features,Gradient Boosting Conservative,17,0.15934011724472436,0.250452486334568,0.5162450052992682,4902.929695017927,5981.801632826283
Full Engineered,Extra Trees,47,-0.088982446553962,0.33281587823125786,0.5129963405941229,4831.141765555362,6001.853468677316
Current Features,Random Forest,17,0.1342080011016186,0.3526811999893904,0.509992549611043,5132.973648094518,6020.334438139189
Compact Engineered,Random Forest,26,0.017473983979531392,0.4821924907064034,0.49575205694643576,5093.692259689475,6107.188763666048
Full Engineered,Gradient Boosting Medium,47,-0.1341591684900178,0.5890357810547097,0.4892426918057219,5091.0362597200565,6146.481384745595
Full Engineered,Random Forest,47,-0.008561551683047064,0.48245045100161793,0.46819279872629893,5257.403677527832,6271.86039513664
Full Engineered,Gradient Boosting Current,47,-0.17064050991478233,0.6501460986756553,0.44982264919634096,5089.272599240413,6379.2647991984595
Compact Engineered,Gradient Boosting Current,26,-0.05348904537339041,0.48291153064990483,0.4450185776043095,5105.550036713179,6407.055688023557
Current Features,Hist Gradient Boosting,17,-0.27776384933373544,0.2777467697934888,0.4394655193964213,5410.936732647606,6439.029908564731
Compact Engineered,Gradient Boosting Conservative,26,0.12222175834640585,0.3011144615284882,0.43500870884377885,5087.990739936456,6464.577595239431
Full Engineered,Hist Gradient Boosting,47,-0.14796033666770667,0.21177078546906836,0.4306314781347421,5334.443561845111,6489.571212078963
Full Engineered,Gradient Boosting Conservative,47,0.09696836383074976,0.2596115080304988,0.4262191346608165,5070.577459915951,6514.66827532831
Compact Engineered,Hist Gradient Boosting,26,-0.14701772939149452,0.2119052428573416,0.42404043413361214,5543.363387592895,6527.0249641394375
