transaction_id,amount,category,merchant,payment_method,location,is_fraud,year,month,day
1,18434,4,6,2,2,0,2026,5,22
2,16484,1,12,0,1,0,2026,2,6
3,15511,0,9,2,0,0,2026,1,2
4,19729,0,5,2,4,1,2026,5,28
5,33675,4,0,1,2,0,2026,4,15
6,6942,3,13,1,2,0,2026,5,14
7,39604,4,17,2,3,0,2026,3,8
8,20342,3,13,1,2,0,2026,5,21
9,2575,0,20,2,2,0,2026,1,14
10,57430,4,17,2,3,1,2026,5,25
11,6992,2,2,2,3,0,2026,6,29
12,7772,2,2,0,3,0,2026,4,1
13,16733,3,13,1,3,0,2026,2,7
14,36715,4,0,0,4,0,2026,1,16
15,7127,3,8,1,2,0,2026,5,19
16,13402,1,12,2,3,0,2026,6,11
17,12805,1,3,1,4,0,2026,6,10
18,25247,3,8,2,0,0,2026,1,17
19,47523,4,17,1,0,0,2026,4,29
20,14040,1,12,2,2,0,2026,1,23
21,22744,0,9,0,0,0,2026,3,7
22,14580,1,7,0,4,0,2026,6,26
23,16953,4,6,2,3,0,2026,4,28
24,8217,4,6,1,1,0,2026,2,19
25,7293,0,9,2,2,0,2026,2,22
26,11583,3,13,2,0,0,2026,1,5
27,20412,3,8,2,4,0,2026,6,26
28,7720,5,19,2,2,0,2026,4,26
29,12055,0,5,2,2,0,2026,3,20
30,12340,0,9,0,2,0,2026,4,3
31,36324,3,13,2,0,0,2026,4,29
32,1427,2,16,2,0,0,2026,6,12
33,8913,3,11,0,3,0,2026,2,22
34,34621,4,6,2,4,1,2026,2,1
35,3937,1,3,0,2,0,2026,6,6
36,36431,3,13,2,1,0,2026,2,28
37,4688,5,18,1,4,0,2026,6,27
38,10689,3,8,0,4,0,2026,3,18
39,21593,3,11,1,4,0,2026,6,27
40,19405,0,9,0,1,0,2026,1,7
41,14156,3,11,1,3,0,2026,5,22
42,6333,2,10,1,1,0,2026,3,14
43,5860,0,20,2,0,0,2026,6,27
44,10741,0,5,2,2,0,2026,3,7
45,17852,1,3,2,4,0,2026,3,25
46,5269,5,19,2,1,0,2026,2,7
47,1762,2,16,1,2,0,2026,2,15
48,1360,1,12,2,0,0,2026,5,11
49,4335,0,9,0,2,0,2026,5,15
50,30786,3,13,0,0,0,2026,3,15
51,6335,5,14,2,4,0,2026,2,12
52,6982,2,2,2,4,0,2026,1,2
53,6936,5,18,2,4,0,2026,2,22
54,3480,2,2,2,2,0,2026,1,23
55,29508,3,8,1,0,0,2026,4,29
56,32870,4,4,0,0,0,2026,4,24
57,543,2,16,1,3,1,2026,4,6
58,20728,4,4,0,1,0,2026,3,28
59,16937,0,20,0,3,0,2026,6,25
60,42813,4,4,1,2,0,2026,2,25
61,34205,3,13,0,4,0,2026,4,16
62,6796,5,1,0,3,0,2026,1,5
63,9309,1,12,2,0,0,2026,6,27
64,12941,0,9,2,0,0,2026,5,31
65,36473,3,11,1,4,0,2026,2,2
66,32315,3,8,1,2,0,2026,6,27
67,1901,1,7,1,4,0,2026,4,4
68,8250,1,12,1,0,0,2026,5,9
69,24990,3,13,0,4,0,2026,2,15
70,6543,5,19,2,1,0,2026,5,15
71,4196,2,2,0,4,0,2026,5,2
72,9566,3,8,0,0,0,2026,1,29
73,2753,1,3,2,1,0,2026,4,1
74,5286,0,20,0,0,0,2026,5,14
75,7726,5,19,2,1,1,2026,2,23
76,10846,4,17,1,0,0,2026,4,14
77,16036,3,11,2,1,0,2026,5,28
78,13481,1,3,1,2,0,2026,6,8
79,6032,2,15,2,0,0,2026,4,16
80,15652,4,6,1,2,0,2026,3,21
81,11797,1,3,2,4,0,2026,1,26
82,5011,5,19,2,1,0,2026,1,8
83,2670,5,1,0,4,0,2026,5,13
84,3765,1,12,1,1,0,2026,1,29
85,2464,5,14,0,0,0,2026,3,28
86,6662,2,15,0,3,0,2026,3,16
87,4972,5,1,1,1,0,2026,6,12
88,7974,1,7,2,0,0,2026,3,28
89,11809,4,4,2,0,0,2026,2,23
90,1742,2,10,2,2,0,2026,1,20
91,9414,0,20,2,4,0,2026,2,5
92,3136,1,12,2,0,0,2026,4,27
93,1122,5,14,2,3,0,2026,5,1
94,9926,0,20,2,0,0,2026,6,8
95,9921,3,8,2,0,0,2026,2,24
96,5253,2,16,2,3,0,2026,5,22
97,3646,2,2,1,0,0,2026,5,29
98,841,5,1,0,1,0,2026,1,19
99,6686,4,6,2,1,0,2026,6,3
100,4541,0,5,0,3,0,2026,3,22
101,3080,5,1,2,3,0,2026,2,27
102,19094,4,17,2,3,0,2026,4,27
103,9925,1,3,0,3,0,2026,3,8
104,2161,5,14,1,1,0,2026,2,8
105,7227,5,1,2,3,0,2026,5,16
106,46864,4,6,2,3,0,2026,4,10
107,5669,4,6,1,1,0,2026,3,2
108,6231,2,16,1,2,0,2026,4,30
109,34597,4,4,1,4,0,2026,4,23
110,2066,5,19,0,3,0,2026,1,7
111,6277,1,12,2,3,1,2026,2,20
112,15259,0,5,0,2,0,2026,6,5
113,5448,1,3,2,3,0,2026,5,10
114,17270,4,4,0,3,0,2026,5,17
115,51156,4,4,0,4,0,2026,3,15
116,18681,0,20,0,4,0,2026,6,19
117,6307,2,2,1,4,0,2026,1,19
118,5532,2,16,2,1,0,2026,1,15
119,1797,2,10,0,4,0,2026,4,11
120,41258,4,17,2,0,0,2026,6,4
121,4700,2,16,1,2,0,2026,5,20
122,11034,3,8,0,0,0,2026,5,8
123,3950,5,19,1,3,0,2026,6,9
124,587,2,15,1,0,0,2026,1,2
125,2010,1,12,2,0,0,2026,1,19
126,2799,2,16,1,2,0,2026,4,26
127,6135,0,20,1,3,0,2026,6,6
128,5247,0,20,1,2,0,2026,1,26
129,58254,4,4,0,0,0,2026,5,26
130,6125,2,10,1,1,0,2026,3,24
131,4365,5,1,2,1,0,2026,1,6
132,20221,0,5,2,4,0,2026,3,31
133,10166,3,11,2,2,1,2026,3,1
134,5786,0,20,2,3,0,2026,4,23
135,3286,3,8,1,4,0,2026,3,24
136,3009,5,19,1,1,0,2026,6,4
137,8826,0,20,2,3,0,2026,3,26
138,31684,4,4,2,1,0,2026,3,14
139,1858,2,10,1,3,0,2026,3,17
140,58322,4,0,2,0,0,2026,6,11
141,26122,4,0,1,1,0,2026,4,14
142,6781,2,16,2,0,0,2026,1,12
143,4102,2,2,1,0,0,2026,5,21
144,9793,1,7,0,1,0,2026,4,26
145,17274,3,11,2,4,0,2026,6,13
146,7874,2,10,0,4,0,2026,4,13
147,2560,5,19,0,1,0,2026,3,23
148,5087,0,5,0,3,0,2026,5,13
149,18247,4,0,0,3,0,2026,6,7
150,15050,4,0,1,1,0,2026,4,16
151,7262,5,18,1,4,0,2026,6,13
152,15402,0,20,2,0,0,2026,4,9
153,15235,0,20,0,1,0,2026,4,19
