transaction_id,date,amount,category,merchant,payment_method,location,is_fraud
1,2023-01-01,3311.66,Education,Book Shop,Card,Kurunegala,0
2,2023-01-01,4500.0,Bills,Internet,Online Transfer,Colombo,0
3,2023-01-01,7522.59,Education,Book Shop,Mobile Wallet,Kurunegala,0
4,2023-01-01,8677.73,Food,Restaurant,Card,Galle,1
5,2023-01-01,4954.96,Transport,Train,Mobile Wallet,Kurunegala,0
6,2023-01-01,4709.77,Transport,Train,Cash,Anuradhapura,0
7,2023-01-02,7011.7,Food,Restaurant,Mobile Wallet,Kandy,0
8,2023-01-02,8649.55,Food,Keells,Cash,Anuradhapura,0
9,2023-01-02,3287.16,Transport,Fuel Station,Card,Anuradhapura,0
10,2023-01-02,2762.67,Education,Online Course,Cash,Jaffna,0
11,2023-01-02,2524.86,Entertainment,Gaming,Card,Colombo,0
12,2023-01-02,4070.23,Transport,Fuel Station,Card,Anuradhapura,0
13,2023-01-03,6045.78,Bills,Water,Online Transfer,Jaffna,0
14,2023-01-03,2920.62,Shopping,Electronics Store,Card,Colombo,0
15,2023-01-03,5296.9,Transport,PickMe,Card,Galle,0
16,2023-01-03,5011.37,Bills,Mobile,Online Transfer,Colombo,0
17,2023-01-03,4914.04,Bills,Electricity,Card,Galle,0
18,2023-01-04,5328.62,Food,Pizza Hut,Card,Jaffna,0
19,2023-01-04,5886.82,Food,KFC,Cash,Colombo,0
20,2023-01-04,5061.85,Transport,Train,Online Transfer,Kurunegala,0
21,2023-01-04,1318.74,Health,Pharmacy,Card,Kurunegala,0
22,2023-01-05,3485.21,Education,Book Shop,Cash,Kurunegala,0
23,2023-01-05,1682.31,Entertainment,Netflix,Mobile Wallet,Anuradhapura,0
24,2023-01-05,2419.07,Entertainment,Cinema,Online Transfer,Kandy,0
25,2023-01-06,7112.8,Shopping,Electronics Store,Cash,Colombo,0
26,2023-01-06,4167.18,Food,Cargills,Cash,Galle,0
27,2023-01-06,7559.6,Food,KFC,Mobile Wallet,Galle,0
28,2023-01-06,3995.51,Bills,Mobile,Card,Kandy,0
29,2023-01-07,4369.92,Transport,Bus,Online Transfer,Jaffna,0
30,2023-01-07,3161.53,Education,Book Shop,Cash,Kandy,0
31,2023-01-07,2877.76,Transport,PickMe,Online Transfer,Kandy,0
32,2023-01-07,4497.35,Shopping,Daraz,Cash,Anuradhapura,0
33,2023-01-07,3378.98,Education,University,Cash,Anuradhapura,0
34,2023-01-08,3000.0,Entertainment,Netflix,Card,Colombo,0
35,2023-01-08,3025.3,Shopping,Supermarket,Online Transfer,Kandy,0
36,2023-01-08,6969.41,Food,Pizza Hut,Cash,Kurunegala,0
37,2023-01-09,3442.72,Transport,PickMe,Cash,Jaffna,0
38,2023-01-09,6021.48,Bills,Electricity,Cash,Kandy,0
39,2023-01-09,3938.85,Shopping,Electronics Store,Card,Anuradhapura,0
40,2023-01-10,7900.09,Transport,Train,Cash,Kandy,0
41,2023-01-10,1582.45,Health,Medical Centre,Mobile Wallet,Anuradhapura,0
