transaction_id,amount,category,merchant,payment_method,location,is_fraud,year,month,day,is_weekend,category_avg_amount,merchant_frequency,payment_impact,amount_difference
1,1218,5,19,1,2,0,2026,2,22,0,4002.865800865801,109,1.2,-2784.865800865801
2,6340,5,18,1,0,0,2026,6,10,0,4002.865800865801,104,1.2,2337.134199134199
3,8967,1,7,1,1,0,2026,3,2,0,10593.915413533834,201,1.2,-1626.915413533834
4,3006,2,10,0,1,0,2026,1,28,0,4237.168674698795,123,1.0,-1231.1686746987953
5,39378,3,11,0,3,0,2026,5,30,0,20874.974,170,1.0,18503.026
6,14885,0,5,0,3,0,2026,2,23,0,12712.13627254509,188,1.0,2172.863727454909
7,14523,3,13,2,0,0,2026,5,15,0,20874.974,161,1.5,-6351.973999999998
8,17812,1,7,1,1,0,2026,3,4,0,10593.915413533834,201,1.2,7218.084586466166
9,6324,2,10,0,3,0,2026,6,15,0,4237.168674698795,123,1.0,2086.8313253012047
10,7964,3,13,0,3,0,2026,5,11,0,20874.974,161,1.0,-12910.973999999998
11,2058,2,15,0,4,0,2026,6,27,0,4237.168674698795,117,1.0,-2179.1686746987953
12,1432,5,18,1,3,0,2026,5,23,0,4002.865800865801,104,1.2,-2570.865800865801
13,5554,1,12,2,4,0,2026,2,10,0,10593.915413533834,169,1.5,-5039.915413533834
14,17503,3,13,1,2,0,2026,4,10,0,20874.974,161,1.2,-3371.9739999999983
15,1481,2,15,2,4,0,2026,4,13,0,4237.168674698795,117,1.5,-2756.1686746987953
16,41154,4,17,1,0,0,2026,3,27,0,32625.434184675836,136,1.2,8528.565815324164
17,5155,0,20,0,0,0,2026,4,13,0,12712.13627254509,161,1.0,-7557.136272545091
18,4025,1,12,1,2,0,2026,4,19,0,10593.915413533834,169,1.2,-6568.915413533834
19,5692,5,19,2,0,0,2026,4,26,0,4002.865800865801,109,1.5,1689.1341991341992
20,380,5,14,2,4,0,2026,1,18,0,4002.865800865801,128,1.5,-3622.865800865801
21,1650,2,10,0,0,0,2026,5,24,0,4237.168674698795,123,1.0,-2587.1686746987953
22,19882,0,5,1,3,0,2026,4,22,0,12712.13627254509,188,1.2,7169.863727454909
23,14382,1,12,2,2,0,2026,3,15,0,10593.915413533834,169,1.5,3788.084586466166
24,2588,2,15,0,1,0,2026,3,23,0,4237.168674698795,117,1.0,-1649.1686746987953
